setup_msg_id,setup_date_utc,team_a,team_b,predicted_winner,predicted_winner_short,entry1_kind,entry1_odds,entry1_team,entry1_msg_id,entry1_date_utc,entry2_kind,entry2_odds,entry2_team,entry2_msg_id,entry2_date_utc,end_type,end_msg_id,end_date_utc
17703,2025-03-28T14:07:02+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 8TH BANGLORE,CHENNAI MATCH WINNER - BANGLORE ROYAL CHALLENGERS BANGLORE LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 8TH BANGLORE VS CHENNAI MATCH WINNER - BANGLORE ROYAL CHALLENGERS BANGLORE LIKH,BANGLORE ROYAL CHALLENGERS BANGLORE LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,90p,CHENNAI ENTRY KARO SABHI LOG..,17706,2025-03-28T14:22:19+00:00,,,,,,LOSS_CUT,17711,2025-03-28T16:08:29+00:00
17747,2025-03-30T14:01:08+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 11TH CHENNAI,RAJASTHAN MATCH WINNER - RAJASTHAN RAJASTHAN ROYALS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 11TH CHENNAI VS RAJASTHAN MATCH WINNER - RAJASTHAN RAJASTHAN ROYALS LIKH,RAJASTHAN RAJASTHAN ROYALS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,65p,CHENNAI ENTRY KARO SABHI LOG..,17749,2025-03-30T14:02:37+00:00,,,,,,CASHOUT,17757,2025-03-30T17:44:43+00:00
17769,2025-03-31T14:03:52+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 12TH MUMBAI,KOLKATA MATCH WINNER - MUMBAI MUMBAI INDIANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 12TH MUMBAI VS KOLKATA MATCH WINNER - MUMBAI MUMBAI INDIANS LIKH,MUMBAI MUMBAI INDIANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,,,,,,,,,,,WIN,17775,2025-03-31T17:22:36+00:00
17788,2025-04-01T14:08:04+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 13TH PUNJAB,LUCKNOW MATCH WINNER - PUNJAB PUNJAB KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 13TH PUNJAB VS LUCKNOW MATCH WINNER - PUNJAB PUNJAB KINGS LIKH,PUNJAB PUNJAB KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,,,,,,,,,,,UNCLOSED,17804,2025-04-02T14:10:13+00:00
17804,2025-04-02T14:10:13+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 14TH BANGLORE,GUJRAT MATCH WINNER - GUJRAT GUJRAT TITANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 14TH BANGLORE VS GUJRAT MATCH WINNER - GUJRAT GUJRAT TITANS LIKH,GUJRAT GUJRAT TITANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,,,,,,,,,,,WIN,17810,2025-04-02T17:34:25+00:00
17820,2025-04-03T13:59:03+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 15TH KOLKATA,HYDERABAD MATCH WINNER - KOLKATA KOLKATA KNIGHT RIDERS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 15TH KOLKATA VS HYDERABAD MATCH WINNER - KOLKATA KOLKATA KNIGHT RIDERS LIKH,KOLKATA KOLKATA KNIGHT RIDERS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,80p,HYDERABAD ENTRY KARO SABHI LOG.,17821,2025-04-03T14:00:19+00:00,FIRST,60p,HYDERABAD ENTRY LELENA SABHI LO,17825,2025-04-03T14:15:40+00:00,CASHOUT,17832,2025-04-03T16:10:10+00:00
17849,2025-04-04T14:22:25+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 16TH MUMBAI,LUCKNOW MATCH WINNER - LUCKNOW LUCKNOW SUPER GIANTS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 16TH MUMBAI VS LUCKNOW MATCH WINNER - LUCKNOW LUCKNOW SUPER GIANTS LIKH,LUCKNOW LUCKNOW SUPER GIANTS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,94p,MUMBAI ENTRY KARO SABHI LOG.. 1,17853,2025-04-04T14:54:26+00:00,,,,,,CASHOUT,17859,2025-04-04T17:44:59+00:00
17962,2025-04-08T10:07:40+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 21ST KOLKATA,LUCKNOW MATCH WINNER - KOLKATA KOLKATA KNIGHT RIDERS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 21ST KOLKATA VS LUCKNOW MATCH WINNER - KOLKATA KOLKATA KNIGHT RIDERS LIKH,KOLKATA KOLKATA KNIGHT RIDERS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,78p,LUCKNOW ENTRY KARO SABHI LOG..,17965,2025-04-08T10:22:54+00:00,FIRST,38p,LUCKNOW SECOND ENTRY KARO SAB..,17967,2025-04-08T11:04:43+00:00,CASHOUT,17975,2025-04-08T12:47:18+00:00
17984,2025-04-08T14:15:29+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 22ND CHENNAI,PUNJAB MATCH WINNER - CHENNAI CHENNAI SUPER KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 22ND CHENNAI VS PUNJAB MATCH WINNER - CHENNAI CHENNAI SUPER KINGS LIKH,CHENNAI CHENNAI SUPER KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,,,,,,,,,,,UNCLOSED,18003,2025-04-09T14:04:47+00:00
18003,2025-04-09T14:04:47+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 23RD GUJRAT,RAJASTHAN MATCH WINNER - GUJRAT GUJRAT TITANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 23RD GUJRAT VS RAJASTHAN MATCH WINNER - GUJRAT GUJRAT TITANS LIKH,GUJRAT GUJRAT TITANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,70p,RAJASTHAN ENTRY KARO SABHI LOG.,18006,2025-04-09T14:11:23+00:00,,,,,,CASHOUT,18012,2025-04-09T16:22:58+00:00
18028,2025-04-10T14:08:07+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 24TH BANGLORE,DELHI MATCH WINNER - BANGLORE ROYAL CHALLENGERS BANGLORE LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 24TH BANGLORE VS DELHI MATCH WINNER - BANGLORE ROYAL CHALLENGERS BANGLORE LIKH,BANGLORE ROYAL CHALLENGERS BANGLORE LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,54p,DELHI SECOND ENTRY KARO SABHI L,18034,2025-04-10T15:02:18+00:00,,,,,,LOSS_CUT,18039,2025-04-10T16:55:10+00:00
18053,2025-04-11T15:14:32+00:00,PAKISTAN SUPER LEAGUE 2025 MATCH - 1ST ISLAMABAD,LAHORE MATCH WINNER - ISLAMABAD UNITED ISLAMABAD UNITED LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,PAKISTAN SUPER LEAGUE 2025 MATCH - 1ST ISLAMABAD VS LAHORE MATCH WINNER - ISLAMABAD UNITED ISLAMABAD UNITED LIKH,ISLAMABAD UNITED ISLAMABAD UNITED LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,,,,,,,,,,,WIN,18059,2025-04-11T18:25:23+00:00
18080,2025-04-12T14:07:29+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 27TH HYDERABAD,PUNJAB MATCH WINNER - PUNJAB PUNJAB KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 27TH HYDERABAD VS PUNJAB MATCH WINNER - PUNJAB PUNJAB KINGS LIKH,PUNJAB PUNJAB KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,,,,,,,,,,,LOSS,18086,2025-04-12T17:36:10+00:00
18092,2025-04-13T10:02:04+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 28TH BANGLORE,RAJASTHAN MATCH WINNER - RAJASTHAN RAJASTHAN ROYALS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 28TH BANGLORE VS RAJASTHAN MATCH WINNER - RAJASTHAN RAJASTHAN ROYALS LIKH,RAJASTHAN RAJASTHAN ROYALS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,,,,,,,,,,,UNCLOSED,18100,2025-04-13T13:58:58+00:00
18100,2025-04-13T13:58:58+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 29TH DELHI,MUMBAI MATCH WINNER - MUMBAI MUMBAI INDIANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 29TH DELHI VS MUMBAI MATCH WINNER - MUMBAI MUMBAI INDIANS LIKH,MUMBAI MUMBAI INDIANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,88p,DELHI ENTRY KARO SABHI LOG.. 1,18110,2025-04-13T16:26:32+00:00,,,,,,LOSS_CUT,18115,2025-04-13T17:27:54+00:00
